"availability_date","base_msrp","bed","cab","color","created_at","dealer","drivetrain","engine","interior","model","packages","total_msrp","total_packages","transmission","vehicle","vin","year"
,"35070",,,"Black","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder Fabric","le","Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp], Emergency Assistance Kit[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions","37073.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ177380","2024"
,"35070",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp], Emergency Assistance Kit[installed_msrp], Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp]","37498.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ177925","2024"
,"39280",,,"Black","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp]","41689.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH1RJ178885","2024"
,"39280",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:31","02044","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions, Roof Rack Cross Bars[installed_msrp], Activity Mount[installed_msrp]","42114.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ178666","2024"
,"39280",,,"Coastal Gray Metallic","2024-06-03 11:29:32","02016","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], Roof Rack Cross Bars[installed_msrp], JBL® Premium Audio","42018.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ178217","2024"
,"39280",,,"Coastal Gray Metallic","2024-06-03 11:29:33","02051","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Roof Rack Cross Bars[installed_msrp]","41304.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ179172","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:33","02051","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions","41478.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ176421","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:33","02051","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","XLE","Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp]","42114.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ179006","2024"
,"35070",,,"Black","2024-06-03 11:29:33","02038","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","All-Weather Floor Liner Package[installed_msrp], 50 State Emissions","36774.0",2,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ178232","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:34","02010","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Carpet Mat Package[installed_msrp], 50 State Emissions","44919.0",2,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ177285","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:34","02021","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","limited","Quick Charging Cable Package[installed_msrp], Activity Mount[installed_msrp], Carpet Mat Package[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Star Gaze™ Fixed Panoramic Roof, 50 State Emissions","46798.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ176446","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:35","02056","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","limited","All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions","45143.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH8RJ174722","2024"
,"39280",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:35","02052","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","XLE","JBL® Premium Audio, Special Color, Quick Charging Cable Package[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","42058.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ176947","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","02055","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","XLE","Special Color, All-Weather Floor Liner Package[installed_msrp], 50 State Emissions","41409.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ170443","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:36","02055","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","limited","50 State Emissions, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Special Color, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Star Gaze™ Fixed Panoramic Roof","47263.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ177906","2024"
,"39280",,,"Blueprint","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions","41304.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ172616","2024"
,"39280",,,"Titanium Glow","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Alloy Wheel Locks[installed_msrp], Activity Mount[installed_msrp], 50 State Emissions","42193.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ180189","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","XLE","Venza Owner's Manual Portfolio[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], JBL® Premium Audio, Special Color","42389.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ179185","2024"
,"40405",,,"Celestial Black","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XN","Carpet Mat Package[installed_msrp], 50 State Emissions, Special Color, Black Roof Rail, Activity Mount[installed_msrp], Nightshade Edition","42494.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ178975","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","XLE","All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], 50 State Emissions, JBL® Premium Audio, Door Edge Guards[installed_msrp], Alloy Wheel Locks[installed_msrp], Roof Rack Cross Bars[installed_msrp], Activity Mount[installed_msrp], Special Color","43353.0",9,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ178681","2024"
,"43215",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","limited","Carpet Mat Package[installed_msrp], Activity Mount[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], Special Color, Venza Owner's Manual Portfolio[installed_msrp]","45805.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ175416","2024"
,"43215",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","limited","50 State Emissions, Special Color, Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Preferred Accessory Package w/ Carpet Mats[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Quick Charging Cable Package[installed_msrp]","46506.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ172944","2024"
,"43215",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Special Color, All-Weather Floor Liner Package[installed_msrp], Alloy Wheel Locks[installed_msrp], Activity Mount[installed_msrp], Star Gaze™ Fixed Panoramic Roof, 50 State Emissions","47194.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH8RJ179953","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:36","27020","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Star Gaze™ Fixed Panoramic Roof, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions, Activity Mount[installed_msrp], Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","47219.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ180292","2024"
,"35070",,,"Coastal Gray Metallic","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","Door Edge Guards[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Carpet Mat Package[installed_msrp]","37238.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ173133","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black/Java SofTex® [softex]","XLE","50 State Emissions, Special Color, JBL® Premium Audio, Roof Rack Cross Bars[installed_msrp], Carpet Cargo Mat[parts_only_msrp]","42130.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ168640","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","XLE","50 State Emissions, JBL® Premium Audio, Roof Rack Cross Bars[installed_msrp], Special Color, Carpet Mat Package[installed_msrp]","42309.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ178965","2024"
,"40405",,,"Ruby Flare Pearl","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XN","Activity Mount[installed_msrp], 50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Star Gaze™ Fixed Panoramic Roof, Nightshade Edition","43919.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ163883","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","limited","First Aid Kit w/ PPE[installed_msrp], Special Color, Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions","45689.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ178991","2024"
,"43215",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:36","02048","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Star Gaze™ Fixed Panoramic Roof, Door Edge Guards[installed_msrp], 50 State Emissions, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Special Color, All-Weather Floor Liner Package[installed_msrp]","47363.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH3RJ173204","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:37","27024","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","50 State Emissions, Special Color, Venza Owner's Manual Portfolio[installed_msrp], Door Edge Guards[installed_msrp], Activity Mount[installed_msrp], Carpet Mat Package[installed_msrp], Roof Rack Cross Bars[installed_msrp]","42280.0",7,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ178285","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:37","27024","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Carpet Mat Package[installed_msrp]","45239.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ169762","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:37","27024","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp]","45383.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH6RJ171673","2024"
,"35070",,,"Black","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder Fabric","le","Quick Charging Cable Package[installed_msrp], 50 State Emissions, Carpet Mat Package[installed_msrp]","36843.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH3RJ176474","2024"
,"39280",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","XLE","All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Special Color","42114.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH1RJ175372","2024"
,"43215",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","50 State Emissions, Carpet Mat Package[installed_msrp], Roof Rack Cross Bars[installed_msrp], Special Color","45664.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ170839","2024"
,"43215",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","limited","Special Color, Carpet Mat Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Star Gaze™ Fixed Panoramic Roof","46813.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH2RJ177048","2024"
,"43215",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions, Star Gaze™ Fixed Panoramic Roof, Special Color, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","46824.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ178002","2024"
,"43215",,,"Ruby Flare Pearl [extra_cost_color]","2024-06-03 11:29:38","27022","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Carpet Mat Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Star Gaze™ Fixed Panoramic Roof, Special Color, Activity Mount[installed_msrp]","47198.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ179344","2024"
,"35070",,,"Black","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions","36785.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ176379","2024"
,"35070",,,"Black","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Fabric","le","Carpet Mat Package[installed_msrp], Quick Charging Cable Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions","36854.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ181014","2024"
,"39280",,,"Celestial Black [extra_cost_color]","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Carpet Mat Package[installed_msrp], Special Color, 50 State Emissions","41409.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ177004","2024"
,"43215",,,"Titanium Glow","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Venza Owner's Manual Portfolio[installed_msrp], Carpet Cargo Mat[parts_only_msrp], 50 State Emissions","44751.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH4RJ170702","2024"
,"43215",,,"Titanium Glow","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","50 State Emissions, Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Alloy Wheel Locks[installed_msrp]","44995.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ176749","2024"
,"43215",,,"Blueprint","2024-06-03 11:29:39","04739","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Alloy Wheel Locks[installed_msrp], 50 State Emissions","44995.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ170857","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:39","04080","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions, Door Edge Guards[installed_msrp]","41564.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ173491","2024"
,"43215",,,"Coastal Gray Metallic","2024-06-03 11:29:39","04080","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Door Edge Guards[installed_msrp]","45074.0",3,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAHXRJ172518","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:39","04080","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Door Edge Guards[installed_msrp], Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Special Color","45819.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ175118","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:40","04772","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","50 State Emissions, Venza Owner's Manual Portfolio[installed_msrp], Special Color, Quick Charging Cable Package[installed_msrp], Preferred Accessory Package w/ All-Weather Floor Liners[installed_msrp]","41514.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ172413","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:40","04772","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Quick Charging Cable Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions, Special Color","45115.0",4,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ173397","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:40","04772","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Boulder SofTex® [softex]","limited","Quick Charging Cable Package[installed_msrp], Special Color, All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Star Gaze™ Fixed Panoramic Roof","46813.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH5RJ176475","2024"
,"39280",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:42","04508","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black SofTex® [softex]","XLE","Door Edge Guards[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Alloy Wheel Locks[installed_msrp], 50 State Emissions, Roof Rack Cross Bars[installed_msrp], Special Color, First Aid Kit w/ PPE[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp]","42424.0",9,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH9RJ166158","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:43","04649","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Special Color, Carpet Mat Package[installed_msrp], 50 State Emissions, Roof Rack Cross Bars[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp]","45675.0",5,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH7RJ171276","2024"
,"43215",,,"Wind Chill Pearl [extra_cost_color]","2024-06-03 11:29:43","04649","All-Wheel Drive","2.5L 4-Cyl. Hybrid Engine","Black Softex® [softex]","limited","Venza Owner's Manual Portfolio[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Special Color, Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Carpet Mat Package[installed_msrp]","46114.0",6,"Electronically controlled Continuously Variable Transmission (ECVT)","venza","JTEAAAAH0RJ175525","2024"
